data;volume(%);volume(hm³)
26/05/2022;86.05597809472441;1469.6342288600001
27/05/2022;86.04446129044803;1469.4375488600003
28/05/2022;86.04313421942052;1469.4148856000002
29/05/2022;86.03111598444762;1469.20964234
30/05/2022;85.97086473490424;1468.1806923400002
31/05/2022;85.9622837401745;1468.0341490800001
01/06/2022;85.87640088473697;1466.5674713800001
02/06/2022;86.07368226052348;1469.93657448
03/06/2022;86.07368226052348;1469.93657448
04/06/2022;86.09964971816632;1470.38003774
05/06/2022;86.14904843616777;1471.2236519600003
06/06/2022;86.57862909100714;1478.55988179999
07/06/2022;86.57655835812126;1478.5245185399901
08/06/2022;86.63371316364322;1479.50058853999
09/06/2022;86.62273137078795;1479.31304527999
10/06/2022;86.62386267370952;1479.33236527999
11/06/2022;86.62091144869666;1479.28196527999
12/06/2022;86.55967762860334;1478.2362352799898
13/06/2022;86.60922698321927;1479.08242201999
14/06/2022;86.57893178246368;1478.56505105999
15/06/2022;86.56387448840017;1478.3079077999903
16/06/2022;86.50383619199273;1477.28259453999
17/06/2022;86.49384184506424;1477.11191453999
18/06/2022;86.4071302868147;1475.631084539998
19/06/2022;86.39352518283688;1475.3987412799981
20/06/2022;86.28935742375768;1473.619800319988
21/06/2022;86.27741901590802;1473.4159203199881
22/06/2022;86.18550488713129;1471.8462426199978
23/06/2022;86.16947926686302;1471.572562619998
24/06/2022;86.12976122624498;1470.894271659999
25/06/2022;86.05387082637539;1469.5982416599977
26/06/2022;85.95298806180517;1467.875400699998
27/06/2022;85.93089115918914;1467.4980374399981
28/06/2022;85.85003618635166;1466.1172241799977
29/06/2022;85.8127812041668;1465.4809964799979
30/06/2022;85.46515473109945;1459.544351809998
01/07/2022;85.41756872576818;1458.7316944699983
02/07/2022;85.34705456899123;1457.527478089998
03/07/2022;85.27289452153384;1456.2609984499982
04/07/2022;85.20876297440773;1455.165782069998
05/07/2022;85.20256170582275;1455.0598789499982
06/07/2022;85.09698841880504;1453.2569348699983
07/07/2022;85.05587656145819;1452.554840789998
08/07/2022;84.98430469149166;1451.3325611499881
09/07/2022;84.88088882373958;1449.5664607299982
10/07/2022;84.80797386883708;1448.321244349998
11/07/2022;84.73122604909611;1447.0105716299977
12/07/2022;84.63100148616884;1445.2989712099977
13/07/2022;84.56955766182233;1444.2496548299978
14/07/2022;84.52036177027328;1443.4095044099981
15/07/2022;84.44385620277434;1442.102968789997
16/07/2022;84.3675391412598;1440.7996524099967
17/07/2022;84.26681099628668;1439.0794519899966
18/07/2022;84.2230406941862;1438.3319579099968
19/07/2022;84.14338849427327;1436.9716851899868
20/07/2022;84.11950996405282;1436.563895909988
21/07/2022;84.01350591880929;1434.753595489998
22/07/2022;83.93251278530975;1433.370422769998
23/07/2022;83.82227379658323;1431.487799449988
24/07/2022;83.7133653711677;1429.6278990299877
25/07/2022;83.63834495495671;1428.3467263099978
26/07/2022;83.55714553434156;1426.960030689988
27/07/2022;83.45051435378276;1425.1390202699977
28/07/2022;83.35754065207627;1423.551247549998
29/07/2022;83.2740544033221;1422.125498269998
30/07/2022;83.16526250444973;1420.2675878499977
31/07/2022;83.09056754687316;1418.991973199997
01/08/2022;83.07509512202235;1418.727740479997
02/08/2022;82.9724856279029;1416.9754110299968
03/08/2022;82.89230583796348;1415.606128309997
04/08/2022;82.8149290132126;1414.2847136599978
05/08/2022;82.71307897761778;1412.5453539799998
06/08/2022;82.63149289909548;1411.1520551499889
07/08/2022;82.45906972555544;1408.2074718299991
08/08/2022;82.38350947934521;1406.9170800799989
09/08/2022;82.32594400149374;1405.933996759999
10/08/2022;82.24577219625753;1404.564850399999
11/08/2022;82.1944945240522;1403.6891480499978
12/08/2022;82.11694592863658;1402.364799959998
13/08/2022;82.0636799072259;1401.455141269998
14/08/2022;81.98603228240101;1400.1291019899988
15/08/2022;81.8728076904042;1398.1954915699991
16/08/2022;81.7605675269408;1396.278692879999
17/08/2022;81.67038736465454;1394.7386272599888
18/08/2022;81.5536070793778;1392.7442939399975
19/08/2022;81.44372231143406;1390.867719879998
20/08/2022;81.34287512786257;1389.1454865599878
21/08/2022;81.2575357943828;1387.6880909399893
22/08/2022;81.146471436441;1385.791372249999
23/08/2022;81.0343873465209;1383.8772389299888
24/08/2022;80.94257698375247;1382.3093333099978
25/08/2022;80.84520510185844;1380.646449989998
26/08/2022;80.72696677089036;1378.627216669999
27/08/2022;80.64386236029463;1377.2079882899989
28/08/2022;80.53800206003591;1375.4001426971408
29/08/2022;80.43505072907008;1373.641975475713
30/08/2022;80.33079323510061;1371.8615020542843
31/08/2022;80.21741960782998;1369.9253464614264
01/09/2022;80.13095544931726;1368.4487414685693
02/09/2022;80.02485863530903;1366.6368567757029
03/09/2022;79.93908304159308;1365.1720108542845
04/09/2022;79.82525263445585;1363.2280545328558
05/09/2022;79.6459230572588;1360.165526039999
06/09/2022;79.52735392132077;1358.1406433471418
07/09/2022;79.41040117834899;1356.1433648542845
08/09/2022;79.29802007615712;1354.2241592614275
09/09/2022;79.20316309629996;1352.6042245685592
10/09/2022;79.09818891724524;1350.8115118471317
11/09/2022;79.00067679168303;1349.1462334942744
12/09/2022;78.85950714950104;1346.735387172846
13/09/2022;78.7113195645057;1344.2046908514176
14/09/2022;78.57414582996368;1341.8620852585602
15/09/2022;78.43309041474507;1339.4531896657038
16/09/2022;78.2642789901097;1336.5702865442765
17/09/2022;78.12087990404969;1334.1213665514194
18/09/2022;77.97901412577397;1331.6986318585623
19/09/2022;77.8377623334665;1329.286382605705
20/09/2022;77.70505764950148;1327.0200979128467
21/09/2022;77.60840763063712;1325.3695423199897
22/09/2022;77.51206210324298;1323.7241867271437
23/09/2022;77.41317268664042;1322.0353874742764
24/09/2022;77.30707065528854;1320.2234136814195
25/09/2022;77.2472066900352;1319.2010775885713
26/09/2022;77.14530541714144;1317.460842895704
27/09/2022;77.0703813155133;1316.181315002847
28/09/2022;76.9732452814193;1314.522459410001
29/09/2022;76.89921708738375;1313.2582315171335
30/09/2022;76.82931831882517;1312.0645245242763
01/10/2022;76.73265647983612;1310.4137670714183
02/10/2022;76.66062871863346;1309.1837018785611
03/10/2022;76.60067154385636;1308.1597739857054
04/10/2022;76.5259149787048;1306.883107222848
05/10/2022;76.41908153600603;1305.0586426399896
06/10/2022;76.29922313709389;1303.0117423599909
07/10/2022;76.19887606905054;1301.2980498399907
08/10/2022;76.13634612128975;1300.23018501999
09/10/2022;76.0466386058878;1298.698191099991
10/10/2022;75.9032796701231;1296.24995677999
11/10/2022;75.7776045741808;1294.1037209599897
12/10/2022;75.70628584319815;1292.8857643399906
13/10/2022;75.60464438777325;1291.1499667199907
14/10/2022;75.51284498669722;1289.582248299991
15/10/2022;75.44192981231257;1288.3711834799908
16/10/2022;75.35538778437268;1286.89324865999
17/10/2022;75.27949289793851;1285.5971420399906
18/10/2022;75.18684443411071;1284.01492361999
19/10/2022;75.05468394156642;1281.7579324399899
