data;volume(%);volume(hm³)
26/05/2022;90.69648143880539;22.72027852
27/05/2022;96.96463002051863;24.290505714286
28/05/2022;100;25.050893
29/05/2022;100;25.050893
30/05/2022;100;25.050893
31/05/2022;100;25.050893
01/06/2022;100;25.050893
02/06/2022;100;25.050893
03/06/2022;100;25.050893
04/06/2022;100;25.050893
05/06/2022;100;25.050893
06/06/2022;100;25.050893
07/06/2022;100;25.050893
08/06/2022;100;25.050893
09/06/2022;100;25.050893
10/06/2022;100;25.050893
11/06/2022;100;25.050893
12/06/2022;100;25.050893
13/06/2022;100;25.050893
14/06/2022;100;25.050893
15/06/2022;100;25.050893
16/06/2022;100;25.050893
17/06/2022;100;25.050893
18/06/2022;100;25.050893
19/06/2022;100;25.050893
20/06/2022;100;25.050893
21/06/2022;100;25.050893
22/06/2022;100;25.050893
23/06/2022;100;25.050893
24/06/2022;100;25.050893
25/06/2022;100;25.050893
26/06/2022;100;25.050893
27/06/2022;100;25.050893
28/06/2022;100;25.050893
29/06/2022;100;25.050893
30/06/2022;100;25.050893
01/07/2022;100;25.050893
02/07/2022;100;25.050893
03/07/2022;100;25.050893
04/07/2022;100;25.050893
05/07/2022;100;25.050893
06/07/2022;100;25.050893
07/07/2022;100;25.050893
08/07/2022;100;25.050893
09/07/2022;100;25.050893
10/07/2022;100;25.050893
11/07/2022;100;25.050893
12/07/2022;100;25.050893
13/07/2022;100;25.050893
14/07/2022;100;25.050893
15/07/2022;100;25.050893
16/07/2022;99.74705250170923;24.987527392857
17/07/2022;99.74705250170923;24.987527392857
18/07/2022;99.49410500341844;24.924161785714
19/07/2022;99.49410500341844;24.924161785714
20/07/2022;99.49410500341844;24.924161785714
21/07/2022;99.49410500341844;24.924161785714
22/07/2022;99.74705250170923;24.987527392857
23/07/2022;99.74705250170923;24.987527392857
24/07/2022;99.74705250170923;24.987527392857
25/07/2022;99.49410500341844;24.924161785714
26/07/2022;99.49410500341844;24.924161785714
27/07/2022;99.24115750512766;24.860796178571
28/07/2022;99.24115750512766;24.860796178571
29/07/2022;99.24115750512766;24.860796178571
30/07/2022;99.24115750512766;24.860796178571
31/07/2022;99.24115750512766;24.860796178571
01/08/2022;98.98821000683688;24.797430571428
02/08/2022;98.7352625085501;24.734064964286
03/08/2022;98.7352625085501;24.734064964286
04/08/2022;98.7352625085501;24.734064964286
05/08/2022;98.48231501025933;24.670699357143
06/08/2022;98.48231501025933;24.670699357143
07/08/2022;98.22936751196853;24.60733375
08/08/2022;98.22936751196853;24.60733375
09/08/2022;97.97642001367777;24.543968142857
10/08/2022;97.97642001367777;24.543968142857
11/08/2022;97.72347251538697;24.480602535714
12/08/2022;97.72347251538697;24.480602535714
13/08/2022;97.47052501709621;24.417236928571
14/08/2022;97.47052501709621;24.417236928571
15/08/2022;97.21757751880942;24.353871321429
16/08/2022;97.21757751880942;24.353871321429
17/08/2022;96.96463002051863;24.290505714286
18/08/2022;96.96463002051863;24.290505714286
19/08/2022;96.71168252222786;24.227140107143
20/08/2022;96.71168252222786;24.227140107143
21/08/2022;96.71168252222786;24.227140107143
22/08/2022;96.45873502393707;24.1637745
23/08/2022;96.45873502393707;24.1637745
24/08/2022;96.2057875256463;24.100408892857
25/08/2022;95.9528400273555;24.037043285714
26/08/2022;95.69989252906474;23.973677678571
27/08/2022;95.69989252906474;23.973677678571
28/08/2022;95.44694503077795;23.910312071429
29/08/2022;95.19399753248716;23.846946464286
30/08/2022;94.9410500341964;23.783580857143
31/08/2022;94.9410500341964;23.783580857143
01/09/2022;94.6881025359056;23.72021525
02/09/2022;94.43515503761483;23.656849642857
03/09/2022;94.18220753932405;23.593484035714
04/09/2022;93.92926004103327;23.530118428571
05/09/2022;93.6763125427425;23.466752821428
06/09/2022;93.4233650444557;23.403387214286
07/09/2022;93.17041754616493;23.340021607143
08/09/2022;93.17041754616493;23.340021607143
09/09/2022;92.91747004787413;23.276656
10/09/2022;92.6706935357554;23.21483628
11/09/2022;92.42391702363665;23.15301656
12/09/2022;92.17714051151789;23.09119684
13/09/2022;92.17714051151789;23.09119684
14/09/2022;91.93036399939915;23.02937712
15/09/2022;91.6835874872804;22.9675574
16/09/2022;91.43681097516165;22.90573768
17/09/2022;91.43681097516165;22.90573768
18/09/2022;91.19003446304289;22.84391796
19/09/2022;90.94325795092415;22.78209824
20/09/2022;90.69648143880539;22.72027852
21/09/2022;90.44970492668665;22.6584588
22/09/2022;90.44970492668665;22.6584588
23/09/2022;90.2029284145679;22.59663908
24/09/2022;89.95615190244915;22.53481936
25/09/2022;89.95615190244915;22.53481936
26/09/2022;89.70937539033041;22.47299964
27/09/2022;89.46259887821165;22.41117992
28/09/2022;89.2158223660929;22.3493602
29/09/2022;89.2158223660929;22.3493602
30/09/2022;88.96904585397417;22.28754048
01/10/2022;88.96904585397417;22.28754048
02/10/2022;88.47549282973665;22.16390104
03/10/2022;88.22871631761791;22.10208132
04/10/2022;88.22871631761791;22.10208132
05/10/2022;88.22871631761791;22.10208132
06/10/2022;87.98193980549915;22.0402616
07/10/2022;87.7351632933804;21.97844188
08/10/2022;87.48838678126165;21.91662216
09/10/2022;87.48838678126165;21.91662216
10/10/2022;87.24161026914291;21.85480244
11/10/2022;86.99483375702415;21.79298272
12/10/2022;86.7480572449054;21.731163
13/10/2022;86.50128073278665;21.66934328
14/10/2022;86.25450422066791;21.60752356
15/10/2022;86.25450422066791;21.60752356
16/10/2022;86.25450422066791;21.60752356
17/10/2022;86.00772770854917;21.54570384
18/10/2022;86.00772770854917;21.54570384
